Number,Vc,f,d,Ï•,VB,P,Replicate,Ra,Rz,Rq,Rt,Sm
15,280.0,0.1,0.95,D30,Worn,Middle,17,2.52,13.37,3.03,17.03,113.0
16,280.0,0.1,0.95,D30,Worn,Middle,17,2.81,14.04,3.33,15.11,106.0
17,280.0,0.1,0.95,D30,Worn,Middle,17,2.88,14.25,3.48,19.67,106.0
1,220.0,0.08,0.7,D30,Worn,Middle,18,0.62,3.33,0.78,3.59,43.0
2,340.0,0.08,0.7,D30,Worn,Middle,18,1.98,11.33,2.42,14.51,125.0
3,220.0,0.12,0.7,D30,Worn,Middle,18,1.81,9.41,2.3,10.94,104.0
4,340.0,0.12,0.7,D30,Worn,Middle,18,1.8,9.08,2.25,9.39,94.0
5,220.0,0.08,1.2,D30,Worn,Middle,18,1.37,9.9,1.78,13.19,64.0
6,340.0,0.08,1.2,D30,Worn,Middle,18,2.95,15.41,3.63,18.39,110.0
7,220.0,0.12,1.2,D30,Worn,Middle,18,1.83,10.05,2.32,11.03,78.0
8,340.0,0.12,1.2,D30,Worn,Middle,18,2.44,14.52,3.03,18.78,105.0
9,179.09,0.1,0.95,D30,Worn,Middle,18,1.57,10.33,2.02,12.66,61.0
10,380.91,0.1,0.95,D30,Worn,Middle,18,2.28,12.49,2.82,14.94,93.0
11,280.0,0.07,0.95,D30,Worn,Middle,18,1.02,6.71,1.31,10.99,65.0
12,280.0,0.13,0.95,D30,Worn,Middle,18,1.62,9.39,2.22,10.51,100.0
13,280.0,0.1,0.53,D30,Worn,Middle,18,1.76,9.56,2.18,16.43,87.0
14,280.0,0.1,1.37,D30,Worn,Middle,18,2.47,13.35,2.98,19.09,97.0
15,280.0,0.1,0.95,D30,Worn,Middle,18,2.96,17.42,3.71,24.61,99.0
16,280.0,0.1,0.95,D30,Worn,Middle,18,2.25,11.54,2.68,18.33,96.0
17,280.0,0.1,0.95,D30,Worn,Middle,18,3.41,18.96,4.38,29.2,112.0
1,220.0,0.08,0.7,D30,Worn,Middle,19,0.81,4.16,0.99,4.69,63.0
2,340.0,0.08,0.7,D30,Worn,Middle,19,1.61,9.1,1.97,12.4,89.0
3,220.0,0.12,0.7,D30,Worn,Middle,19,1.56,8.91,2.04,9.44,86.0
4,340.0,0.12,0.7,D30,Worn,Middle,19,1.7,9.14,2.19,9.93,95.0
5,220.0,0.08,1.2,D30,Worn,Middle,19,1.41,9.96,1.82,12.58,70.0
6,340.0,0.08,1.2,D30,Worn,Middle,19,3.58,18.18,4.41,20.86,152.0
7,220.0,0.12,1.2,D30,Worn,Middle,19,1.92,10.67,2.4,12.16,71.0
8,340.0,0.12,1.2,D30,Worn,Middle,19,3.89,21.66,4.94,36.78,133.0
9,179.09,0.1,0.95,D30,Worn,Middle,19,2.0,11.73,2.45,14.87,94.0
10,380.91,0.1,0.95,D30,Worn,Middle,19,2.49,13.59,3.02,16.68,96.0
11,280.0,0.07,0.95,D30,Worn,Middle,19,1.14,6.51,1.4,7.87,83.0
12,280.0,0.13,0.95,D30,Worn,Middle,19,1.74,9.95,2.31,10.92,88.0
13,280.0,0.1,0.53,D30,Worn,Middle,19,1.58,8.03,1.88,10.27,83.0
14,280.0,0.1,1.37,D30,Worn,Middle,19,2.58,15.41,3.23,20.92,97.0
15,280.0,0.1,0.95,D30,Worn,Middle,19,3.07,17.45,3.76,24.23,120.0
16,280.0,0.1,0.95,D30,Worn,Middle,19,3.18,17.97,3.88,21.99,135.0
17,280.0,0.1,0.95,D30,Worn,Middle,19,2.97,14.69,3.55,16.1,129.0
1,220.0,0.08,0.7,D30,Worn,Middle,20,0.64,3.27,0.81,3.52,58.0
2,340.0,0.08,0.7,D30,Worn,Middle,20,2.31,13.08,2.96,20.43,100.0
3,220.0,0.12,0.7,D30,Worn,Middle,20,1.72,9.78,2.25,11.96,84.0
4,340.0,0.12,0.7,D30,Worn,Middle,20,1.8,9.4,2.27,10.01,111.0
5,220.0,0.08,1.2,D30,Worn,Middle,20,1.57,10.24,1.98,13.67,75.0
6,340.0,0.08,1.2,D30,Worn,Middle,20,2.98,16.07,3.77,18.32,136.0
7,220.0,0.12,1.2,D30,Worn,Middle,20,2.26,13.49,2.94,23.13,75.0
8,340.0,0.12,1.2,D30,Worn,Middle,20,3.36,20.11,4.4,32.83,133.0
9,179.09,0.1,0.95,D30,Worn,Middle,20,1.89,10.38,2.29,12.74,102.0
10,380.91,0.1,0.95,D30,Worn,Middle,20,2.4,14.13,3.06,17.97,93.0
11,280.0,0.07,0.95,D30,Worn,Middle,20,1.06,6.57,1.32,8.34,75.0
12,280.0,0.13,0.95,D30,Worn,Middle,20,1.79,10.17,2.4,13.04,98.0
13,280.0,0.1,0.53,D30,Worn,Middle,20,1.55,7.49,1.83,8.36,90.0
14,280.0,0.1,1.37,D30,Worn,Middle,20,2.46,12.89,2.95,19.88,99.0
15,280.0,0.1,0.95,D30,Worn,Middle,20,2.76,16.21,3.43,20.2,104.0
16,280.0,0.1,0.95,D30,Worn,Middle,20,3.47,19.14,4.31,23.91,114.0
17,280.0,0.1,0.95,D30,Worn,Middle,20,3.07,17.22,3.89,30.57,107.0
1,220.0,0.08,0.7,D30,Worn,Middle,21,0.85,4.4,1.04,5.28,68.0
2,340.0,0.08,0.7,D30,Worn,Middle,21,2.17,11.67,2.64,14.93,151.0
3,220.0,0.12,0.7,D30,Worn,Middle,21,1.86,10.42,2.38,13.44,86.0
4,340.0,0.12,0.7,D30,Worn,Middle,21,1.77,9.34,2.24,10.73,107.0
5,220.0,0.08,1.2,D30,Worn,Middle,21,1.24,9.3,1.58,12.55,70.0
6,340.0,0.08,1.2,D30,Worn,Middle,21,2.91,16.66,3.64,20.7,103.0
7,220.0,0.12,1.2,D30,Worn,Middle,21,2.06,12.87,2.67,18.29,79.0
8,340.0,0.12,1.2,D30,Worn,Middle,21,2.7,17.2,3.66,33.96,110.0
9,179.09,0.1,0.95,D30,Worn,Middle,21,1.48,9.53,1.93,11.27,55.0
10,380.91,0.1,0.95,D30,Worn,Middle,21,2.72,14.0,3.24,17.4,109.0
11,280.0,0.07,0.95,D30,Worn,Middle,21,0.95,5.56,1.17,7.41,60.0
12,280.0,0.13,0.95,D30,Worn,Middle,21,1.63,9.27,2.19,9.92,89.0
13,280.0,0.1,0.53,D30,Worn,Middle,21,1.63,7.56,1.88,9.78,85.0
14,280.0,0.1,1.37,D30,Worn,Middle,21,2.34,10.27,2.71,11.78,94.0
15,280.0,0.1,0.95,D30,Worn,Middle,21,2.4,12.89,2.89,16.56,97.0
16,280.0,0.1,0.95,D30,Worn,Middle,21,2.75,15.08,3.45,23.27,100.0
17,280.0,0.1,0.95,D30,Worn,Middle,21,3.38,21.38,4.57,28.37,104.0
1,220.0,0.08,0.7,D30,Worn,Middle,22,0.95,4.69,1.14,5.71,77.0
2,340.0,0.08,0.7,D30,Worn,Middle,22,1.53,8.53,1.85,12.05,92.0
3,220.0,0.12,0.7,D30,Worn,Middle,22,1.7,9.43,2.17,10.1,100.0
4,340.0,0.12,0.7,D30,Worn,Middle,22,1.82,9.7,2.31,10.23,99.0
5,220.0,0.08,1.2,D30,Worn,Middle,22,1.42,9.53,1.8,12.16,71.0
6,340.0,0.08,1.2,D30,Worn,Middle,22,3.23,15.96,3.91,17.66,113.0
7,220.0,0.12,1.2,D30,Worn,Middle,22,1.87,10.7,2.37,12.33,81.0
8,340.0,0.12,1.2,D30,Worn,Middle,22,3.35,18.54,4.06,27.01,131.0
9,179.09,0.1,0.95,D30,Worn,Middle,22,2.46,14.77,3.13,23.64,125.0
10,380.91,0.1,0.95,D30,Worn,Middle,22,2.46,12.65,2.98,13.1,107.0
11,280.0,0.07,0.95,D30,Worn,Middle,22,1.31,8.89,1.74,12.55,95.0
12,280.0,0.13,0.95,D30,Worn,Middle,22,1.57,9.65,2.16,10.46,83.0
13,280.0,0.1,0.53,D30,Worn,Middle,22,1.74,9.89,2.19,19.61,92.0
14,280.0,0.1,1.37,D30,Worn,Middle,22,2.63,14.47,3.25,19.42,110.0
15,280.0,0.1,0.95,D30,Worn,Middle,22,3.01,16.19,3.64,22.88,113.0
16,280.0,0.1,0.95,D30,Worn,Middle,22,3.35,18.88,4.26,26.68,119.0
17,280.0,0.1,0.95,D30,Worn,Middle,22,2.64,12.86,3.17,14.14,123.0
1,220.0,0.08,0.7,D30,Worn,Middle,23,0.83,4.14,1.02,4.64,69.0
2,340.0,0.08,0.7,D30,Worn,Middle,23,1.71,9.55,2.11,15.59,95.0
3,220.0,0.12,0.7,D30,Worn,Middle,23,1.68,9.96,2.19,12.75,78.0
4,340.0,0.12,0.7,D30,Worn,Middle,23,1.88,9.04,2.34,9.78,100.0
5,220.0,0.08,1.2,D30,Worn,Middle,23,1.36,7.84,1.64,9.18,73.0
6,340.0,0.08,1.2,D30,Worn,Middle,23,2.93,15.32,3.6,17.63,124.0
7,220.0,0.12,1.2,D30,Worn,Middle,23,1.99,11.63,2.49,16.31,87.0
8,340.0,0.12,1.2,D30,Worn,Middle,23,3.27,20.05,4.19,27.59,111.0
9,179.09,0.1,0.95,D30,Worn,Middle,23,1.83,10.52,2.25,11.82,89.0
10,380.91,0.1,0.95,D30,Worn,Middle,23,2.21,11.69,2.69,12.84,97.0
11,280.0,0.07,0.95,D30,Worn,Middle,23,0.81,5.19,1.01,6.33,63.0
12,280.0,0.13,0.95,D30,Worn,Middle,23,1.71,10.61,2.29,13.83,89.0
13,280.0,0.1,0.53,D30,Worn,Middle,23,2.0,11.96,2.57,25.53,106.0
14,280.0,0.1,1.37,D30,Worn,Middle,23,2.94,15.74,3.69,28.6,117.0
15,280.0,0.1,0.95,D30,Worn,Middle,23,2.81,15.24,3.42,17.84,109.0
16,280.0,0.1,0.95,D30,Worn,Middle,23,3.03,17.94,3.88,26.36,90.0
17,280.0,0.1,0.95,D30,Worn,Middle,23,2.52,12.92,3.03,14.66,104.0
1,220.0,0.08,0.7,D30,Worn,Middle,24,0.67,3.42,0.83,3.8,52.0
2,340.0,0.08,0.7,D30,Worn,Middle,24,2.03,10.93,2.44,13.22,161.0
3,220.0,0.12,0.7,D30,Worn,Middle,24,1.7,9.13,2.2,9.64,91.0
4,340.0,0.12,0.7,D30,Worn,Middle,24,1.83,9.73,2.33,11.23,109.0
5,220.0,0.08,1.2,D30,Worn,Middle,24,1.57,10.39,2.02,16.22,80.0
6,340.0,0.08,1.2,D30,Worn,Middle,24,3.09,16.89,3.79,25.54,129.0
7,220.0,0.12,1.2,D30,Worn,Middle,24,2.07,11.77,2.57,13.17,88.0
8,340.0,0.12,1.2,D30,Worn,Middle,24,3.21,17.67,4.06,24.96,122.0
9,179.09,0.1,0.95,D30,Worn,Middle,24,1.38,8.77,1.77,10.14,61.0
10,380.91,0.1,0.95,D30,Worn,Middle,24,2.39,12.31,2.84,13.63,97.0
11,280.0,0.07,0.95,D30,Worn,Middle,24,0.98,6.19,1.22,6.84,61.0
12,280.0,0.13,0.95,D30,Worn,Middle,24,1.66,9.86,2.24,10.66,90.0
13,280.0,0.1,0.53,D30,Worn,Middle,24,1.91,9.65,2.41,21.3,94.0
14,280.0,0.1,1.37,D30,Worn,Middle,24,2.7,14.92,3.38,22.08,95.0
15,280.0,0.1,0.95,D30,Worn,Middle,24,2.37,12.57,2.85,14.22,91.0
16,280.0,0.1,0.95,D30,Worn,Middle,24,2.85,16.83,3.64,25.35,105.0
17,280.0,0.1,0.95,D30,Worn,Middle,24,2.94,17.43,3.7,23.02,104.0
1,220.0,0.08,0.7,D30,Worn,Chuck,25,0.7,3.3,0.86,4.22,53.0
2,340.0,0.08,0.7,D30,Worn,Chuck,25,0.88,4.98,1.06,5.86,56.0
3,220.0,0.12,0.7,D30,Worn,Chuck,25,1.75,8.99,2.21,9.53,102.0
4,340.0,0.12,0.7,D30,Worn,Chuck,25,1.95,9.51,2.35,11.18,99.0
5,220.0,0.08,1.2,D30,Worn,Chuck,25,1.47,9.8,1.86,13.13,68.0
6,340.0,0.08,1.2,D30,Worn,Chuck,25,1.31,7.67,1.6,9.43,68.0
7,220.0,0.12,1.2,D30,Worn,Chuck,25,1.87,10.38,2.37,12.14,80.0
8,340.0,0.12,1.2,D30,Worn,Chuck,25,1.77,10.27,2.25,11.85,90.0
9,179.09,0.1,0.95,D30,Worn,Chuck,25,1.64,10.61,2.09,12.78,80.0
10,380.91,0.1,0.95,D30,Worn,Chuck,25,1.26,9.43,1.71,12.61,83.0
11,280.0,0.07,0.95,D30,Worn,Chuck,25,0.59,4.35,0.76,7.86,49.0
12,280.0,0.13,0.95,D30,Worn,Chuck,25,1.61,10.72,2.22,15.03,77.0
13,280.0,0.1,0.53,D30,Worn,Chuck,25,1.93,7.5,2.15,8.07,99.0
14,280.0,0.1,1.37,D30,Worn,Chuck,25,2.47,13.58,2.98,21.45,85.0
15,280.0,0.1,0.95,D30,Worn,Chuck,25,1.86,8.74,2.15,10.75,94.0
16,280.0,0.1,0.95,D30,Worn,Chuck,25,1.97,7.85,2.2,8.66,94.0
17,280.0,0.1,0.95,D30,Worn,Chuck,25,2.45,14.24,3.1,26.5,97.0
1,220.0,0.08,0.7,D30,Worn,Chuck,26,0.64,3.76,0.83,4.4,48.0
2,340.0,0.08,0.7,D30,Worn,Chuck,26,0.83,4.74,1.01,5.45,55.0
3,220.0,0.12,0.7,D30,Worn,Chuck,26,1.68,9.02,2.14,10.0,101.0
4,340.0,0.12,0.7,D30,Worn,Chuck,26,2.08,10.9,2.57,15.29,104.0
5,220.0,0.08,1.2,D30,Worn,Chuck,26,1.56,10.98,2.1,21.54,69.0
6,340.0,0.08,1.2,D30,Worn,Chuck,26,1.25,7.84,1.54,9.93,65.0
7,220.0,0.12,1.2,D30,Worn,Chuck,26,1.93,10.91,2.48,12.65,79.0
8,340.0,0.12,1.2,D30,Worn,Chuck,26,1.81,10.29,2.31,11.29,85.0
9,179.09,0.1,0.95,D30,Worn,Chuck,26,1.74,12.3,2.26,18.4,73.0
10,380.91,0.1,0.95,D30,Worn,Chuck,26,1.46,8.9,1.91,9.27,92.0
11,280.0,0.07,0.95,D30,Worn,Chuck,26,0.66,4.37,0.82,5.26,58.0
12,280.0,0.13,0.95,D30,Worn,Chuck,26,1.78,10.85,2.35,14.01,83.0
13,280.0,0.1,0.53,D30,Worn,Chuck,26,1.71,7.5,1.95,8.03,95.0
14,280.0,0.1,1.37,D30,Worn,Chuck,26,2.72,17.56,3.46,24.16,98.0
15,280.0,0.1,0.95,D30,Worn,Chuck,26,2.2,11.27,2.62,16.61,97.0
16,280.0,0.1,0.95,D30,Worn,Chuck,26,1.94,9.43,2.25,13.92,94.0
17,280.0,0.1,0.95,D30,Worn,Chuck,26,2.07,9.98,2.41,14.94,92.0
1,220.0,0.08,0.7,D30,Worn,Chuck,27,0.95,4.5,1.22,4.65,76.0
2,340.0,0.08,0.7,D30,Worn,Chuck,27,0.84,4.74,1.02,5.54,55.0
3,220.0,0.12,0.7,D30,Worn,Chuck,27,1.77,9.19,2.24,10.2,106.0
4,340.0,0.12,0.7,D30,Worn,Chuck,27,2.01,9.35,2.39,10.43,103.0
5,220.0,0.08,1.2,D30,Worn,Chuck,27,1.29,7.9,1.58,9.33,71.0
6,340.0,0.08,1.2,D30,Worn,Chuck,27,1.28,7.76,1.59,8.5,64.0
7,220.0,0.12,1.2,D30,Worn,Chuck,27,1.83,10.9,2.35,12.46,76.0
8,340.0,0.12,1.2,D30,Worn,Chuck,27,1.83,10.32,2.34,11.59,76.0
9,179.09,0.1,0.95,D30,Worn,Chuck,27,1.51,8.71,1.85,9.74,68.0
10,380.91,0.1,0.95,D30,Worn,Chuck,27,1.23,7.75,1.61,10.14,78.0
11,280.0,0.07,0.95,D30,Worn,Chuck,27,0.65,3.9,0.8,4.35,60.0
12,280.0,0.13,0.95,D30,Worn,Chuck,27,1.83,10.13,2.4,14.03,75.0
13,280.0,0.1,0.53,D30,Worn,Chuck,27,1.61,6.79,1.84,8.11,96.0
14,280.0,0.1,1.37,D30,Worn,Chuck,27,2.3,9.73,2.63,10.8,96.0
15,280.0,0.1,0.95,D30,Worn,Chuck,27,1.85,8.61,2.13,10.41,95.0
16,280.0,0.1,0.95,D30,Worn,Chuck,27,2.17,12.63,2.78,19.78,95.0
17,280.0,0.1,0.95,D30,Worn,Chuck,27,2.05,11.2,2.47,14.98,91.0
1,220.0,0.08,0.7,D30,Worn,Chuck,28,0.73,3.64,0.91,4.33,59.0
2,340.0,0.08,0.7,D30,Worn,Chuck,28,0.85,4.67,1.02,5.53,48.0
3,220.0,0.12,0.7,D30,Worn,Chuck,28,1.7,8.39,2.16,8.83,104.0
4,340.0,0.12,0.7,D30,Worn,Chuck,28,1.91,9.87,2.33,11.65,104.0
5,220.0,0.08,1.2,D30,Worn,Chuck,28,1.45,8.47,1.77,10.87,66.0
6,340.0,0.08,1.2,D30,Worn,Chuck,28,1.24,6.93,1.53,8.48,63.0
7,220.0,0.12,1.2,D30,Worn,Chuck,28,1.63,9.72,2.09,11.35,76.0
8,340.0,0.12,1.2,D30,Worn,Chuck,28,1.73,10.58,2.23,13.7,76.0
9,179.09,0.1,0.95,D30,Worn,Chuck,28,1.66,11.5,2.17,15.16,64.0
10,380.91,0.1,0.95,D30,Worn,Chuck,28,1.56,9.71,2.05,16.04,98.0
11,280.0,0.07,0.95,D30,Worn,Chuck,28,0.6,4.1,0.77,5.49,51.0
12,280.0,0.13,0.95,D30,Worn,Chuck,28,1.68,9.82,2.23,13.41,91.0
13,280.0,0.1,0.53,D30,Worn,Chuck,28,1.88,7.77,2.1,9.19,99.0
14,280.0,0.1,1.37,D30,Worn,Chuck,28,2.37,12.03,2.78,18.21,88.0
15,280.0,0.1,0.95,D30,Worn,Chuck,28,1.89,10.23,2.24,15.08,89.0
16,280.0,0.1,0.95,D30,Worn,Chuck,28,1.97,8.29,2.22,10.34,95.0
17,280.0,0.1,0.95,D30,Worn,Chuck,28,2.2,9.72,2.51,14.13,100.0
1,220.0,0.08,0.7,D30,Worn,Chuck,29,0.92,4.56,1.18,4.99,74.0
2,340.0,0.08,0.7,D30,Worn,Chuck,29,0.83,4.5,1.01,4.81,56.0
3,220.0,0.12,0.7,D30,Worn,Chuck,29,1.74,8.79,2.19,9.88,102.0
4,340.0,0.12,0.7,D30,Worn,Chuck,29,2.11,9.83,2.51,12.02,112.0
5,220.0,0.08,1.2,D30,Worn,Chuck,29,1.51,9.7,1.92,16.67,63.0
6,340.0,0.08,1.2,D30,Worn,Chuck,29,1.85,12.25,2.58,27.64,80.0
7,220.0,0.12,1.2,D30,Worn,Chuck,29,2.24,14.96,3.04,31.32,81.0
8,340.0,0.12,1.2,D30,Worn,Chuck,29,1.85,9.93,2.34,10.85,86.0
9,179.09,0.1,0.95,D30,Worn,Chuck,29,1.68,10.96,2.13,14.91,74.0
10,380.91,0.1,0.95,D30,Worn,Chuck,29,1.54,9.11,1.98,11.05,92.0
11,280.0,0.07,0.95,D30,Worn,Chuck,29,0.7,3.94,0.85,4.2,58.0
12,280.0,0.13,0.95,D30,Worn,Chuck,29,1.58,9.11,2.14,10.12,92.0
13,280.0,0.1,0.53,D30,Worn,Chuck,29,1.7,7.0,1.92,7.92,97.0
14,280.0,0.1,1.37,D30,Worn,Chuck,29,2.45,11.97,2.88,19.45,99.0
15,280.0,0.1,0.95,D30,Worn,Chuck,29,2.37,12.11,2.86,19.44,110.0
16,280.0,0.1,0.95,D30,Worn,Chuck,29,2.07,10.45,2.48,18.17,100.0
17,280.0,0.1,0.95,D30,Worn,Chuck,29,2.15,10.01,2.5,16.08,98.0
1,220.0,0.08,0.7,D30,Worn,Chuck,30,0.77,3.96,0.98,4.29,57.0
2,340.0,0.08,0.7,D30,Worn,Chuck,30,0.8,4.26,0.97,4.63,61.0
3,220.0,0.12,0.7,D30,Worn,Chuck,30,1.73,8.92,2.19,9.73,97.0
4,340.0,0.12,0.7,D30,Worn,Chuck,30,2.08,9.96,2.51,11.67,100.0
5,220.0,0.08,1.2,D30,Worn,Chuck,30,1.24,7.65,1.52,9.02,62.0
6,340.0,0.08,1.2,D30,Worn,Chuck,30,1.31,7.51,1.6,9.64,68.0
7,220.0,0.12,1.2,D30,Worn,Chuck,30,1.98,11.7,2.54,15.8,76.0
8,340.0,0.12,1.2,D30,Worn,Chuck,30,1.83,10.12,2.35,11.03,77.0
9,179.09,0.1,0.95,D30,Worn,Chuck,30,1.76,12.74,2.3,19.32,72.0
10,380.91,0.1,0.95,D30,Worn,Chuck,30,1.42,9.54,1.96,14.86,74.0
11,280.0,0.07,0.95,D30,Worn,Chuck,30,0.68,4.21,0.83,4.95,58.0
12,280.0,0.13,0.95,D30,Worn,Chuck,30,1.73,10.48,2.23,12.4,101.0
13,280.0,0.1,0.53,D30,Worn,Chuck,30,1.64,7.24,1.88,8.39,88.0
14,280.0,0.1,1.37,D30,Worn,Chuck,30,2.54,14.63,3.05,20.77,102.0
15,280.0,0.1,0.95,D30,Worn,Chuck,30,1.79,8.25,2.06,9.0,98.0
16,280.0,0.1,0.95,D30,Worn,Chuck,30,1.84,8.65,2.11,10.44,97.0
17,280.0,0.1,0.95,D30,Worn,Chuck,30,20.3,11.1,2.5,23.26,84.0
1,220.0,0.08,0.7,D30,Worn,Chuck,31,0.69,3.23,0.84,4.21,51.0
2,340.0,0.08,0.7,D30,Worn,Chuck,31,0.82,4.59,0.98,5.85,49.0
3,220.0,0.12,0.7,D30,Worn,Chuck,31,1.77,8.49,2.18,8.8,106.0
4,340.0,0.12,0.7,D30,Worn,Chuck,31,1.91,9.51,2.31,10.21,115.0
5,220.0,0.08,1.2,D30,Worn,Chuck,31,1.42,8.76,1.77,11.63,66.0
6,340.0,0.08,1.2,D30,Worn,Chuck,31,1.29,8.26,1.6,11.59,63.0
7,220.0,0.12,1.2,D30,Worn,Chuck,31,1.77,10.22,2.32,11.87,83.0
8,340.0,0.12,1.2,D30,Worn,Chuck,31,1.79,10.1,2.27,11.41,84.0
9,179.09,0.1,0.95,D30,Worn,Chuck,31,1.7,11.94,2.21,17.59,81.0
10,380.91,0.1,0.95,D30,Worn,Chuck,31,1.2,8.02,1.57,10.33,85.0
11,280.0,0.07,0.95,D30,Worn,Chuck,31,0.7,5.37,0.95,11.55,55.0
12,280.0,0.13,0.95,D30,Worn,Chuck,31,1.72,9.95,2.31,12.1,80.0
13,280.0,0.1,0.53,D30,Worn,Chuck,31,1.92,7.8,2.16,8.83,99.0
14,280.0,0.1,1.37,D30,Worn,Chuck,31,2.29,9.76,2.6,11.93,94.0
15,280.0,0.1,0.95,D30,Worn,Chuck,31,2.03,11.76,2.5,21.55,89.0
16,280.0,0.1,0.95,D30,Worn,Chuck,31,2.05,9.0,2.31,11.21,95.0
17,280.0,0.1,0.95,D30,Worn,Chuck,31,2.04,8.48,2.31,9.62,100.0
1,220.0,0.08,0.7,D30,Worn,Chuck,32,0.59,3.46,0.77,4.92,43.0
2,340.0,0.08,0.7,D30,Worn,Chuck,32,0.87,4.98,1.06,5.68,62.0
3,220.0,0.12,0.7,D30,Worn,Chuck,32,1.72,9.05,2.16,10.11,108.0
4,340.0,0.12,0.7,D30,Worn,Chuck,32,1.99,9.83,2.41,11.37,107.0
5,220.0,0.08,1.2,D30,Worn,Chuck,32,1.43,10.36,1.86,15.47,68.0
6,340.0,0.08,1.2,D30,Worn,Chuck,32,1.18,6.81,1.45,8.71,62.0
7,220.0,0.12,1.2,D30,Worn,Chuck,32,1.84,10.39,2.36,11.5,88.0
8,340.0,0.12,1.2,D30,Worn,Chuck,32,1.94,10.54,2.45,11.76,93.0
9,179.09,0.1,0.95,D30,Worn,Chuck,32,1.76,11.19,2.22,13.26,74.0
10,380.91,0.1,0.95,D30,Worn,Chuck,32,1.44,8.99,1.93,10.55,83.0
11,280.0,0.07,0.95,D30,Worn,Chuck,32,0.7,4.43,0.87,5.72,61.0
12,280.0,0.13,0.95,D30,Worn,Chuck,32,1.87,11.12,2.47,13.55,83.0
13,280.0,0.1,0.53,D30,Worn,Chuck,32,1.72,7.17,1.94,8.31,97.0
14,280.0,0.1,1.37,D30,Worn,Chuck,32,2.41,10.98,2.79,16.89,97.0
15,280.0,0.1,0.95,D30,Worn,Chuck,32,2.0,8.39,2.29,9.01,94.0
16,280.0,0.1,0.95,D30,Worn,Chuck,32,1.93,8.63,2.21,10.35,91.0
17,280.0,0.1,0.95,D30,Worn,Chuck,32,2.13,12.57,2.65,24.65,90.0
1,220.0,0.08,0.7,D30,Worn,Chuck,33,0.94,4.46,1.21,4.7,64.0
2,340.0,0.08,0.7,D30,Worn,Chuck,33,0.87,4.83,1.05,5.77,60.0
3,220.0,0.12,0.7,D30,Worn,Chuck,33,1.74,8.91,2.16,10.82,88.0
4,340.0,0.12,0.7,D30,Worn,Chuck,33,1.91,9.31,2.31,10.54,101.0
5,220.0,0.08,1.2,D30,Worn,Chuck,33,1.59,9.38,1.94,11.62,79.0
6,340.0,0.08,1.2,D30,Worn,Chuck,33,1.29,7.77,1.59,9.75,64.0
7,220.0,0.12,1.2,D30,Worn,Chuck,33,1.79,10.25,2.31,10.96,75.0
8,340.0,0.12,1.2,D30,Worn,Chuck,33,1.81,10.3,2.32,11.55,73.0
9,179.09,0.1,0.95,D30,Worn,Chuck,33,1.79,11.89,2.28,15.22,79.0
10,380.91,0.1,0.95,D30,Worn,Chuck,33,1.36,9.25,1.8,10.23,90.0
11,280.0,0.07,0.95,D30,Worn,Chuck,33,0.66,4.04,0.82,4.63,64.0
12,280.0,0.13,0.95,D30,Worn,Chuck,33,1.6,9.19,2.12,9.95,82.0
13,280.0,0.1,0.53,D30,Worn,Chuck,33,1.58,6.88,1.81,7.53,97.0
14,280.0,0.1,1.37,D30,Worn,Chuck,33,2.58,12.79,3.27,28.1,99.0
15,280.0,0.1,0.95,D30,Worn,Chuck,33,2.55,15.73,3.36,20.51,84.0
16,280.0,0.1,0.95,D30,Worn,Chuck,33,1.69,7.68,1.95,9.65,84.0
17,280.0,0.1,0.95,D30,Worn,Chuck,33,2.01,10.56,2.39,16.64,90.0
1,220.0,0.08,0.7,D30,Worn,Chuck,34,0.73,3.97,0.92,4.81,58.0
2,340.0,0.08,0.7,D30,Worn,Chuck,34,0.88,5.48,1.09,6.16,52.0
3,220.0,0.12,0.7,D30,Worn,Chuck,34,1.77,9.2,2.23,11.85,105.0
4,340.0,0.12,0.7,D30,Worn,Chuck,34,1.96,9.5,2.37,9.89,104.0
5,220.0,0.08,1.2,D30,Worn,Chuck,34,1.22,7.52,1.5,8.47,65.0
6,340.0,0.08,1.2,D30,Worn,Chuck,34,1.25,7.78,1.54,8.48,65.0
7,220.0,0.12,1.2,D30,Worn,Chuck,34,1.85,10.29,2.35,11.79,84.0
8,340.0,0.12,1.2,D30,Worn,Chuck,34,1.74,10.16,2.23,12.04,78.0
9,179.09,0.1,0.95,D30,Worn,Chuck,34,1.56,10.31,2.0,13.8,66.0
10,380.91,0.1,0.95,D30,Worn,Chuck,34,1.3,9.3,1.83,13.42,80.0
11,280.0,0.07,0.95,D30,Worn,Chuck,34,0.6,4.33,0.77,5.91,55.0
12,280.0,0.13,0.95,D30,Worn,Chuck,34,1.73,10.09,2.29,12.6,85.0
13,280.0,0.1,0.53,D30,Worn,Chuck,34,1.91,7.19,2.12,7.59,100.0
14,280.0,0.1,1.37,D30,Worn,Chuck,34,2.3,11.94,2.77,13.66,104.0
15,280.0,0.1,0.95,D30,Worn,Chuck,34,2.25,12.43,2.82,27.69,101.0
16,280.0,0.1,0.95,D30,Worn,Chuck,34,2.07,8.55,2.32,10.06,94.0
17,280.0,0.1,0.95,D30,Worn,Chuck,34,2.04,8.75,2.3,10.13,97.0
1,220.0,0.08,0.7,D30,Worn,Chuck,35,0.96,4.65,1.21,4.95,75.0
