Number,Vc,f,d,Ï•,VB,P,Replicate,Ra,Rz,Rq,Rt,Sm
10,380.91,0.1,0.95,D30,New,Live centre,12,5.75,20.89,6.47,21.99,296.0
11,280.0,0.07,0.95,D30,New,Live centre,12,4.11,18.38,4.92,20.58,248.0
12,280.0,0.13,0.95,D30,New,Live centre,12,3.79,16.62,4.42,18.56,197.0
13,280.0,0.1,0.53,D30,New,Live centre,12,1.32,7.4,1.65,9.16,97.0
14,280.0,0.1,1.37,D30,New,Live centre,12,5.16,23.27,6.15,25.64,224.0
15,280.0,0.1,0.95,D30,New,Live centre,12,6.8,27.97,7.96,30.71,358.0
16,280.0,0.1,0.95,D30,New,Live centre,12,6.41,27.61,7.55,30.43,354.0
17,280.0,0.1,0.95,D30,New,Live centre,12,5.57,24.88,6.7,26.86,378.0
1,220.0,0.08,0.7,D30,New,Middle,13,1.11,7.88,1.46,10.01,75.0
2,340.0,0.08,0.7,D30,New,Middle,13,0.95,5.01,1.17,5.9,83.0
3,220.0,0.12,0.7,D30,New,Middle,13,1.41,6.41,1.63,8.34,114.0
4,340.0,0.12,0.7,D30,New,Middle,13,1.53,7.3,1.78,8.58,118.0
5,220.0,0.08,1.2,D30,New,Middle,13,1.59,9.92,2.05,16.7,81.0
6,340.0,0.08,1.2,D30,New,Middle,13,1.46,7.97,1.86,9.32,69.0
7,220.0,0.12,1.2,D30,New,Middle,13,1.45,7.1,1.76,7.7,118.0
8,340.0,0.12,1.2,D30,New,Middle,13,1.56,6.92,1.86,7.68,118.0
9,179.09,0.1,0.95,D30,New,Middle,13,1.33,7.22,1.65,8.44,90.0
10,380.91,0.1,0.95,D30,New,Middle,13,1.72,10.16,2.17,12.77,97.0
11,280.0,0.07,0.95,D30,New,Middle,13,1.69,7.89,2.0,10.38,135.0
12,280.0,0.13,0.95,D30,New,Middle,13,1.45,7.49,1.76,8.47,124.0
13,280.0,0.1,0.53,D30,New,Middle,13,1.04,5.34,1.28,5.85,99.0
14,280.0,0.1,1.37,D30,New,Middle,13,1.35,7.01,1.68,9.98,94.0
15,280.0,0.1,0.95,D30,New,Middle,13,1.24,6.75,1.51,10.64,83.0
16,280.0,0.1,0.95,D30,New,Middle,13,1.19,6.28,1.45,6.88,91.0
17,280.0,0.1,0.95,D30,New,Middle,13,1.15,6.41,1.42,7.16,82.0
1,220.0,0.08,0.7,D30,New,Middle,14,1.01,6.26,1.27,7.75,76.0
2,340.0,0.08,0.7,D30,New,Middle,14,0.97,5.37,1.21,8.32,84.0
3,220.0,0.12,0.7,D30,New,Middle,14,1.41,6.2,1.63,7.44,115.0
4,340.0,0.12,0.7,D30,New,Middle,14,1.48,6.95,1.73,7.79,119.0
5,220.0,0.08,1.2,D30,New,Middle,14,1.28,8.04,1.66,13.02,75.0
6,340.0,0.08,1.2,D30,New,Middle,14,1.71,9.21,2.12,11.12,79.0
7,220.0,0.12,1.2,D30,New,Middle,14,1.52,7.32,1.84,8.11,119.0
8,340.0,0.12,1.2,D30,New,Middle,14,1.54,7.09,1.85,8.01,124.0
9,179.09,0.1,0.95,D30,New,Middle,14,1.37,8.06,1.71,8.96,91.0
10,380.91,0.1,0.95,D30,New,Middle,14,1.59,10.69,2.07,14.99,96.0
11,280.0,0.07,0.95,D30,New,Middle,14,2.21,10.35,2.62,11.53,150.0
12,280.0,0.13,0.95,D30,New,Middle,14,1.64,10.26,2.07,13.22,128.0
13,280.0,0.1,0.53,D30,New,Middle,14,1.04,5.31,1.27,6.66,98.0
14,280.0,0.1,1.37,D30,New,Middle,14,1.21,7.05,1.5,9.05,95.0
15,280.0,0.1,0.95,D30,New,Middle,14,1.15,5.88,1.4,6.6,91.0
16,280.0,0.1,0.95,D30,New,Middle,14,1.15,6.0,1.41,6.77,85.0
17,280.0,0.1,0.95,D30,New,Middle,14,1.16,6.65,1.43,8.65,91.0
1,220.0,0.08,0.7,D30,New,Middle,15,0.99,6.67,1.31,9.81,78.0
2,340.0,0.08,0.7,D30,New,Middle,15,1.69,7.15,1.98,8.51,119.0
3,220.0,0.12,0.7,D30,New,Middle,15,1.43,6.39,1.66,6.97,116.0
4,340.0,0.12,0.7,D30,New,Middle,15,1.5,7.23,1.76,7.88,119.0
5,220.0,0.08,1.2,D30,New,Middle,15,1.04,7.25,1.39,8.94,76.0
6,340.0,0.08,1.2,D30,New,Middle,15,1.45,7.65,1.79,9.01,79.0
7,220.0,0.12,1.2,D30,New,Middle,15,1.58,8.01,1.92,9.99,119.0
8,340.0,0.12,1.2,D30,New,Middle,15,1.58,7.35,1.88,8.08,124.0
9,179.09,0.1,0.95,D30,New,Middle,15,1.34,7.57,1.68,9.04,87.0
10,380.91,0.1,0.95,D30,New,Middle,15,1.57,8.58,1.95,11.02,87.0
11,280.0,0.07,0.95,D30,New,Middle,15,2.42,11.79,2.91,13.6,160.0
12,280.0,0.13,0.95,D30,New,Middle,15,1.59,8.16,1.93,8.75,125.0
13,280.0,0.1,0.53,D30,New,Middle,15,1.07,5.53,1.31,6.36,94.0
14,280.0,0.1,1.37,D30,New,Middle,15,1.62,11.18,2.19,14.24,93.0
15,280.0,0.1,0.95,D30,New,Middle,15,1.24,6.08,1.49,7.16,98.0
16,280.0,0.1,0.95,D30,New,Middle,15,1.36,7.39,1.71,10.48,91.0
17,280.0,0.1,0.95,D30,New,Middle,15,1.12,6.1,1.38,6.65,82.0
1,220.0,0.08,0.7,D30,New,Middle,16,0.9,5.76,1.14,7.76,80.0
2,340.0,0.08,0.7,D30,New,Middle,16,0.97,5.11,1.18,5.65,84.0
3,220.0,0.12,0.7,D30,New,Middle,16,1.42,6.37,1.65,6.95,119.0
4,340.0,0.12,0.7,D30,New,Middle,16,1.55,7.53,1.83,8.5,119.0
5,220.0,0.08,1.2,D30,New,Middle,16,1.4,9.0,1.81,10.89,73.0
6,340.0,0.08,1.2,D30,New,Middle,16,1.62,9.07,2.03,12.01,71.0
7,220.0,0.12,1.2,D30,New,Middle,16,1.56,7.69,1.89,8.77,114.0
8,340.0,0.12,1.2,D30,New,Middle,16,1.52,7.21,1.81,7.83,115.0
9,179.09,0.1,0.95,D30,New,Middle,16,1.23,6.91,1.51,8.89,95.0
10,380.91,0.1,0.95,D30,New,Middle,16,1.56,9.6,2.01,13.69,98.0
11,280.0,0.07,0.95,D30,New,Middle,16,1.76,8.9,2.12,9.95,127.0
12,280.0,0.13,0.95,D30,New,Middle,16,1.64,8.82,2.0,11.02,127.0
13,280.0,0.1,0.53,D30,New,Middle,16,1.01,5.28,1.24,6.01,96.0
