Number,Vc,f,ap,Stiffness,Wear,Position,Block,Ra,Ry,Rz,Rq,Rt,Sm
5,220.00,0.08,1.20,D50,Worn,Centre,Run 1,1.09,7.24,5.62,1.33,7.24,54.00
6,340.00,0.08,1.20,D50,Worn,Centre,Run 1,1.44,12.53,7.63,1.81,12.53,46.00
7,220.00,0.12,1.20,D50,Worn,Centre,Run 1,1.42,8.34,7.30,1.76,8.57,68.00
8,340.00,0.12,1.20,D50,Worn,Centre,Run 1,1.69,16.41,9.19,2.08,16.41,74.00
9,179.09,0.10,0.95,D50,Worn,Centre,Run 1,1.15,7.30,5.71,1.39,7.30,45.00
10,380.91,0.10,0.95,D50,Worn,Centre,Run 1,1.93,11.42,9.68,2.37,11.42,92.00
11,280.00,0.07,0.95,D50,Worn,Centre,Run 1,1.73,9.88,8.35,2.06,9.88,83.00
12,280.00,0.13,0.95,D50,Worn,Centre,Run 1,2.26,12.59,10.00,2.65,12.59,62.00
13,280.00,0.10,0.53,D50,Worn,Centre,Run 1,2.54,16.29,10.83,2.99,16.29,105.00
14,280.00,0.10,1.37,D50,Worn,Centre,Run 1,1.97,11.29,8.89,2.39,11.29,83.00
15,280.00,0.10,0.95,D50,Worn,Centre,Run 1,2.78,25.80,12.77,3.33,25.80,95.00
16,280.00,0.10,0.95,D50,Worn,Centre,Run 1,2.26,10.87,9.61,2.65,11.02,103.00
17,280.00,0.10,0.95,D50,Worn,Centre,Run 1,3.06,21.68,13.75,3.74,21.69,105.00
1,220.00,0.08,0.70,D50,Worn,Centre,Run 2,1.34,7.57,6.82,1.64,8.96,66.00
2,340.00,0.08,0.70,D50,Worn,Centre,Run 2,1.26,13.33,6.44,1.55,13.33,55.00
3,220.00,0.12,0.70,D50,Worn,Centre,Run 2,1.80,8.48,7.94,2.15,8.54,79.00
4,340.00,0.12,0.70,D50,Worn,Centre,Run 2,1.77,9.40,8.26,2.13,9.40,98.00
5,220.00,0.08,1.20,D50,Worn,Centre,Run 2,1.08,8.55,5.89,1.37,10.02,63.00
6,340.00,0.08,1.20,D50,Worn,Centre,Run 2,1.38,9.08,6.85,1.70,9.08,50.00
7,220.00,0.12,1.20,D50,Worn,Centre,Run 2,2.07,12.97,10.35,2.60,16.47,87.00
8,340.00,0.12,1.20,D50,Worn,Centre,Run 2,1.57,8.67,7.78,1.93,9.23,82.00
9,179.09,0.10,0.95,D50,Worn,Centre,Run 2,1.39,9.36,7.46,1.70,9.81,40.00
10,380.91,0.10,0.95,D50,Worn,Centre,Run 2,2.40,13.01,11.72,3.02,144.17,79.00
11,280.00,0.07,0.95,D50,Worn,Centre,Run 2,2.46,19.80,11.55,2.98,19.80,99.00
12,280.00,0.13,0.95,D50,Worn,Centre,Run 2,2.20,13.14,10.60,2.69,13.14,70.00
13,280.00,0.10,0.53,D50,Worn,Centre,Run 2,2.20,11.99,9.23,2.55,11.99,90.00
14,280.00,0.10,1.37,D50,Worn,Centre,Run 2,2.15,10.07,9.28,2.54,10.66,79.00
15,280.00,0.10,0.95,D50,Worn,Centre,Run 2,2.46,16.91,12.01,3.01,17.35,87.00
16,280.00,0.10,0.95,D50,Worn,Centre,Run 2,2.05,10.05,8.07,2.34,10.07,92.00
17,280.00,0.10,0.95,D50,Worn,Centre,Run 2,2.55,14.76,11.19,3.03,15.23,112.00
1,220.00,0.08,0.70,D50,Worn,Centre,Run 3,1.65,13.38,8.76,20.40,15.79,77.00
2,340.00,0.08,0.70,D50,Worn,Centre,Run 3,0.97,5.46,5.06,1.21,6.58,60.00
3,220.00,0.12,0.70,D50,Worn,Centre,Run 3,1.77,8.47,8.06,2.13,8.55,75.00
4,340.00,0.12,0.70,D50,Worn,Centre,Run 3,2.09,14.64,10.18,2.57,14.64,63.00
5,220.00,0.08,1.20,D50,Worn,Centre,Run 3,0.96,6.40,5.58,1.19,6.59,48.00
6,340.00,0.08,1.20,D50,Worn,Centre,Run 3,1.52,10.12,7.47,1.88,10.86,59.00
7,220.00,0.12,1.20,D50,Worn,Centre,Run 3,2.27,16.82,10.18,2.76,16.82,98.00
8,340.00,0.12,1.20,D50,Worn,Centre,Run 3,1.42,7.64,6.50,1.72,7.71,69.00
9,179.09,0.10,0.95,D50,Worn,Centre,Run 3,1.63,10.83,7.73,1.96,11.07,46.00
10,380.91,0.10,0.95,D50,Worn,Centre,Run 3,1.65,9.51,8.24,1.99,9.75,66.00
11,280.00,0.07,0.95,D50,Worn,Centre,Run 3,1.51,8.80,7.26,1.79,8.00,80.00
12,280.00,0.13,0.95,D50,Worn,Centre,Run 3,2.63,13.76,11.57,3.09,13.94,64.00
13,280.00,0.10,0.53,D50,Worn,Centre,Run 3,2.21,12.25,10.23,2.64,13.10,94.00
14,280.00,0.10,1.37,D50,Worn,Centre,Run 3,2.44,13.91,10.51,2.88,13.91,86.00
15,280.00,0.10,0.95,D50,Worn,Centre,Run 3,2.30,11.93,10.13,2.72,12.93,96.00
16,280.00,0.10,0.95,D50,Worn,Centre,Run 3,2.07,12.22,9.87,2.51,12.22,96.00
17,280.00,0.10,0.95,D50,Worn,Centre,Run 3,2.15,12.08,8.68,2.49,12.08,101.00
1,220.00,0.08,0.70,D50,Worn,Centre,Run 4,1.51,8.43,7.38,1.82,9.05,73.00
2,340.00,0.08,0.70,D50,Worn,Centre,Run 4,2.07,15.12,11.46,2.73,15.12,78.00
3,220.00,0.12,0.70,D50,Worn,Centre,Run 4,2.19,14.90,9.79,2.63,15.24,120.00
4,340.00,0.12,0.70,D50,Worn,Centre,Run 4,2.11,18.05,11.52,2.70,18.32,64.00
5,220.00,0.08,1.20,D50,Worn,Centre,Run 4,1.06,7.10,5.45,1.30,7.10,50.00
6,340.00,0.08,1.20,D50,Worn,Centre,Run 4,1.01,6.20,5.57,1.25,6.76,39.00
7,220.00,0.12,1.20,D50,Worn,Centre,Run 4,1.65,10.74,7.62,1.97,10.74,77.00
8,340.00,0.12,1.20,D50,Worn,Centre,Run 4,1.62,13.17,7.90,1.97,13.17,72.00
9,179.09,0.10,0.95,D50,Worn,Centre,Run 4,1.23,7.38,6.16,1.48,7.62,52.00
10,380.91,0.10,0.95,D50,Worn,Centre,Run 4,1.97,13.37,9.43,2.39,13.37,96.00
11,280.00,0.07,0.95,D50,Worn,Centre,Run 4,1.93,9.42,7.85,2.23,10.18,96.00
12,280.00,0.13,0.95,D50,Worn,Centre,Run 4,2.18,9.39,8.94,2.50,9.76,61.00
13,280.00,0.10,0.53,D50,Worn,Centre,Run 4,2.62,13.76,11.07,3.06,13.76,100.00
14,280.00,0.10,1.37,D50,Worn,Centre,Run 4,1.75,10.20,8.28,2.12,10.20,84.00
15,280.00,0.10,0.95,D50,Worn,Centre,Run 4,2.57,15.76,10.69,3.01,15.76,92.00
16,280.00,0.10,0.95,D50,Worn,Centre,Run 4,2.49,12.11,10.00,2.87,12.11,84.00
17,280.00,0.10,0.95,D50,Worn,Centre,Run 4,2.37,12.00,10.02,2.80,13.31,85.00
1,220.00,0.08,0.70,D50,Worn,Centre,Run 5,2.07,19.21,12.23,2.62,19.21,70.00
2,340.00,0.08,0.70,D50,Worn,Centre,Run 5,1.74,13.40,9.29,2.21,13.40,62.00
3,220.00,0.12,0.70,D50,Worn,Centre,Run 5,2.02,10.90,9.62,2.42,10.90,90.00
4,340.00,0.12,0.70,D50,Worn,Centre,Run 5,1.95,12.32,9.38,2.39,12.32,67.00
5,220.00,0.08,1.20,D50,Worn,Centre,Run 5,1.00,6.57,5.37,1.24,6.68,53.00
6,340.00,0.08,1.20,D50,Worn,Centre,Run 5,2.17,15.24,9.74,2.58,15.24,78.00
7,220.00,0.12,1.20,D50,Worn,Centre,Run 5,1.77,11.06,8.73,2.18,11.06,74.00
8,340.00,0.12,1.20,D50,Worn,Centre,Run 5,1.61,11.20,8.69,1.99,12.35,46.00
9,179.09,0.10,0.95,D50,Worn,Centre,Run 5,1.37,8.33,6.67,1.65,8.68,47.00
10,380.91,0.10,0.95,D50,Worn,Centre,Run 5,1.69,9.85,8.24,2.03,9.99,94.00
11,280.00,0.07,0.95,D50,Worn,Centre,Run 5,1.87,12.10,7.93,2.15,12.10,114.00
12,280.00,0.13,0.95,D50,Worn,Centre,Run 5,2.56,17.37,11.68,3.03,18.30,67.00
13,280.00,0.10,0.53,D50,Worn,Centre,Run 5,1.99,11.40,9.39,2.39,12.12,86.00
14,280.00,0.10,1.37,D50,Worn,Centre,Run 5,2.01,10.36,9.30,2.43,10.36,87.00
15,280.00,0.10,0.95,D50,Worn,Centre,Run 5,2.41,11.09,10.29,2.77,11.09,99.00
16,280.00,0.10,0.95,D50,Worn,Centre,Run 5,2.24,11.65,9.68,2.65,12.45,89.00
17,280.00,0.10,0.95,D50,Worn,Centre,Run 5,2.18,11.48,9.62,2.53,11.77,84.00
1,220.00,0.08,0.70,D50,Worn,Centre,Run 6,1.79,14.25,9.06,2.26,14.25,72.00
2,340.00,0.08,0.70,D50,Worn,Centre,Run 6,1.49,12.88,8.53,1.93,13.12,63.00
3,220.00,0.12,0.70,D50,Worn,Centre,Run 6,1.65,8.79,8.13,2.00,9.19,98.00
4,340.00,0.12,0.70,D50,Worn,Centre,Run 6,1.63,8.82,7.88,2.00,8.99,71.00
5,220.00,0.08,1.20,D50,Worn,Centre,Run 6,1.37,11.53,7.00,1.69,11.53,48.00
6,340.00,0.08,1.20,D50,Worn,Centre,Run 6,1.47,9.71,7.51,1.84,10.07,41.00
7,220.00,0.12,1.20,D50,Worn,Centre,Run 6,1.48,8.92,7.08,1.79,8.92,80.00
8,340.00,0.12,1.20,D50,Worn,Centre,Run 6,1.58,10.01,7.76,1.96,10.06,66.00
9,179.09,0.10,0.95,D50,Worn,Centre,Run 6,1.41,9.03,6.98,1.68,9.03,68.00
10,380.91,0.10,0.95,D50,Worn,Centre,Run 6,1.88,9.96,9.14,2.28,10.47,85.00
11,280.00,0.07,0.95,D50,Worn,Centre,Run 6,2.57,23.43,13.72,3.27,23.43,74.00
12,280.00,0.13,0.95,D50,Worn,Centre,Run 6,2.57,20.67,11.87,3.09,20.67,59.00
13,280.00,0.10,0.53,D50,Worn,Centre,Run 6,1.87,10.64,9.12,2.27,10.64,95.00
14,280.00,0.10,1.37,D50,Worn,Centre,Run 6,1.99,9.06,8.56,2.36,9.18,85.00
15,280.00,0.10,0.95,D50,Worn,Centre,Run 6,2.40,12.64,10.85,2.82,12.80,98.00
16,280.00,0.10,0.95,D50,Worn,Centre,Run 6,2.39,18.10,10.57,2.83,18.10,91.00
17,280.00,0.10,0.95,D50,Worn,Centre,Run 6,2.40,10.68,9.91,2.80,10.95,92.00
1,220.00,0.08,0.70,D50,Worn,Centre,Run 7,1.23,7.78,6.40,1.49,7.78,71.00
2,340.00,0.08,0.70,D50,Worn,Centre,Run 7,0.94,5.15,4.75,1.15,5.50,57.00
3,220.00,0.12,0.70,D50,Worn,Centre,Run 7,1.86,8.53,7.93,2.20,8.66,107.00
4,340.00,0.12,0.70,D50,Worn,Centre,Run 7,1.90,12.26,9.30,2.36,12.26,91.00
5,220.00,0.08,1.20,D50,Worn,Centre,Run 7,2.11,18.17,10.48,2.74,18.17,61.00
6,340.00,0.08,1.20,D50,Worn,Centre,Run 7,1.27,9.45,7.28,1.64,9.45,56.00
7,220.00,0.12,1.20,D50,Worn,Centre,Run 7,1.75,14.42,9.69,2.28,17.00,78.00
8,340.00,0.12,1.20,D50,Worn,Centre,Run 7,1.38,7.22,7.06,1.69,8.30,56.00
9,179.09,0.10,0.95,D50,Worn,Centre,Run 7,1.53,8.95,7.61,1.85,10.38,53.00
10,380.91,0.10,0.95,D50,Worn,Centre,Run 7,1.66,8.11,7.39,1.98,9.16,86.00
11,280.00,0.07,0.95,D50,Worn,Centre,Run 7,2.14,18.92,9.15,2.48,18.92,81.00
12,280.00,0.13,0.95,D50,Worn,Centre,Run 7,2.35,13.69,11.69,2.81,13.81,59.00
13,280.00,0.10,0.53,D50,Worn,Centre,Run 7,2.08,9.36,8.58,2.43,9.77,73.00
14,280.00,0.10,1.37,D50,Worn,Centre,Run 7,2.53,16.40,10.53,2.93,16.40,107.00
15,280.00,0.10,0.95,D50,Worn,Centre,Run 7,2.33,11.30,9.60,2.67,11.37,97.00
16,280.00,0.10,0.95,D50,Worn,Centre,Run 7,2.34,10.57,9.48,2.73,11.43,96.00
17,280.00,0.10,0.95,D50,Worn,Centre,Run 7,2.29,10.70,9.85,2.72,11.17,92.00
1,220.00,0.08,0.70,D50,Worn,Centre,Run 8,1.58,12.53,7.55,1.94,12.81,76.00
2,340.00,0.08,0.70,D50,Worn,Centre,Run 8,1.58,13.50,8.48,2.04,13.50,56.00
3,220.00,0.12,0.70,D50,Worn,Centre,Run 8,1.77,8.79,8.19,2.12,8.79,79.00
4,340.00,0.12,0.70,D50,Worn,Centre,Run 8,1.85,10.68,8.65,2.24,10.68,95.00
5,220.00,0.08,1.20,D50,Worn,Centre,Run 8,1.45,10.59,7.73,1.83,10.59,51.00
6,340.00,0.08,1.20,D50,Worn,Centre,Run 8,1.25,9.11,6.66,1.56,9.11,81.00
7,220.00,0.12,1.20,D50,Worn,Centre,Run 8,1.82,17.22,8.91,2.26,17.22,101.00
8,340.00,0.12,1.20,D50,Worn,Centre,Run 8,1.44,8.01,7.07,1.79,8.71,75.00
9,179.09,0.10,0.95,D50,Worn,Centre,Run 8,1.45,8.72,7.16,1.73,9.05,57.00
10,380.91,0.10,0.95,D50,Worn,Centre,Run 8,2.07,13.97,10.03,2.60,14.54,78.00
11,280.00,0.07,0.95,D50,Worn,Centre,Run 8,2.40,14.44,9.73,2.78,14.44,85.00
12,280.00,0.13,0.95,D50,Worn,Centre,Run 8,2.07,9.01,8.26,2.35,9.49,65.00
13,280.00,0.10,0.53,D50,Worn,Centre,Run 8,2.13,11.36,9.64,2.56,11.36,89.00
14,280.00,0.10,1.37,D50,Worn,Centre,Run 8,1.87,10.03,8.80,2.25,10.53,89.00
15,280.00,0.10,0.95,D50,Worn,Centre,Run 8,2.25,11.76,10.37,2.66,12.60,93.00
16,280.00,0.10,0.95,D50,Worn,Centre,Run 8,2.06,11.78,9.11,2.41,1.87,78.00
17,280.00,0.10,0.95,D50,Worn,Centre,Run 8,3.07,23.71,14.59,3.64,23.72,107.00
1,220.00,0.08,0.70,D50,Worn,Centre,Run 9,1.52,14.28,8.17,1.94,14.28,75.00
2,340.00,0.08,0.70,D50,Worn,Centre,Run 9,1.63,14.59,8.79,2.15,14.59,59.00
3,220.00,0.12,0.70,D50,Worn,Centre,Run 9,1.74,9.58,7.80,2.10,10.37,66.00
4,340.00,0.12,0.70,D50,Worn,Centre,Run 9,1.70,8.46,8.05,2.06,9.02,50.00
5,220.00,0.08,1.20,D50,Worn,Centre,Run 9,1.09,7.69,6.13,1.37,8.03,54.00
6,340.00,0.08,1.20,D50,Worn,Centre,Run 9,1.30,7.61,6.79,1.61,8.02,58.00
7,220.00,0.12,1.20,D50,Worn,Centre,Run 9,1.52,9.25,7.40,1.84,9.25,69.00
8,340.00,0.12,1.20,D50,Worn,Centre,Run 9,1.41,7.74,7.87,1.75,8.09,56.00
9,179.09,0.10,0.95,D50,Worn,Centre,Run 9,1.67,11.30,9.14,2.03,11.85,57.00
10,380.91,0.10,0.95,D50,Worn,Centre,Run 9,1.73,10.86,9.06,2.13,11.13,77.00
11,280.00,0.07,0.95,D50,Worn,Centre,Run 9,2.43,21.02,11.28,2.84,21.02,80.00
12,280.00,0.13,0.95,D50,Worn,Centre,Run 9,2.17,11.78,9.82,2.54,11.99,59.00
13,280.00,0.10,0.53,D50,Worn,Centre,Run 9,2.53,17.34,12.75,3.25,21.37,83.00
14,280.00,0.10,1.37,D50,Worn,Centre,Run 9,2.11,12.49,9.07,2.50,12.49,91.00
15,280.00,0.10,0.95,D50,Worn,Centre,Run 9,2.38,12.03,9.08,2.71,12.46,90.00
16,280.00,0.10,0.95,D50,Worn,Centre,Run 9,2.14,12.97,9.86,2.54,13.27,85.00
17,280.00,0.10,0.95,D50,Worn,Centre,Run 9,2.87,19.52,13.21,3.39,19.52,90.00
1,220.00,0.08,0.70,D50,Worn,Centre,Run 10,1.31,12.03,6.94,1.63,12.03,66.00
2,340.00,0.08,0.70,D50,Worn,Centre,Run 10,0.98,7.57,5.57,1.23,7.57,52.00
3,220.00,0.12,0.70,D50,Worn,Centre,Run 10,1.84,9.77,9.03,2.25,10.12,71.00
4,340.00,0.12,0.70,D50,Worn,Centre,Run 10,1.90,10.18,8.86,2.31,10.25,72.00
5,220.00,0.08,1.20,D50,Worn,Centre,Run 10,1.49,14.12,9.00,2.00,14.12,52.00
6,340.00,0.08,1.20,D50,Worn,Centre,Run 10,1.71,11.26,8.31,2.10,11.26,71.00
7,220.00,0.12,1.20,D50,Worn,Centre,Run 10,1.37,8.35,6.89,1.66,8.71,75.00
8,340.00,0.12,1.20,D50,Worn,Centre,Run 10,1.37,6.83,6.41,1.66,7.11,75.00
9,179.09,0.10,0.95,D50,Worn,Centre,Run 10,1.32,9.05,5.54,1.58,9.05,42.00
10,380.91,0.10,0.95,D50,Worn,Centre,Run 10,1.85,11.16,9.17,2.27,11.34,97.00
11,280.00,0.07,0.95,D50,Worn,Centre,Run 10,2.14,11.68,9.31,2.53,11.68,82.00
12,280.00,0.13,0.95,D50,Worn,Centre,Run 10,2.25,15.20,10.78,2.70,15.20,65.00
13,280.00,0.10,0.53,D50,Worn,Centre,Run 10,2.18,14.16,9.72,2.61,14.16,73.00
14,280.00,0.10,1.37,D50,Worn,Centre,Run 10,1.77,8.87,8.07,2.15,9.35,80.00
15,280.00,0.10,0.95,D50,Worn,Centre,Run 10,2.38,10.57,10.08,2.77,10.61,100.00
16,280.00,0.10,0.95,D50,Worn,Centre,Run 10,1.92,9.57,8.56,2.30,9.97,95.00
17,280.00,0.10,0.95,D50,Worn,Centre,Run 10,2.31,11.35,9.71,2.72,11.35,75.00
1,220.00,0.08,0.70,D50,Worn,Centre,Run 11,1.16,7.38,6.09,1.42,7.38,63.00
2,340.00,0.08,0.70,D50,Worn,Centre,Run 11,1.13,10.68,6.17,1.46,10.68,51.00
3,220.00,0.12,0.70,D50,Worn,Centre,Run 11,1.89,9.98,8.62,2.26,10.69,84.00
4,340.00,0.12,0.70,D50,Worn,Centre,Run 11,1.78,8.88,8.05,2.18,9.26,69.00
5,220.00,0.08,1.20,D50,Worn,Centre,Run 11,1.47,22.97,8.94,1.99,22.97,53.00
6,340.00,0.08,1.20,D50,Worn,Centre,Run 11,1.64,8.68,7.44,1.93,8.68,76.00
7,220.00,0.12,1.20,D50,Worn,Centre,Run 11,1.63,9.18,7.67,1.95,9.21,96.00
8,340.00,0.12,1.20,D50,Worn,Centre,Run 11,1.80,16.44,9.12,2.24,16.44,111.00
9,179.09,0.10,0.95,D50,Worn,Centre,Run 11,1.33,8.38,6.62,1.59,8.38,43.00
10,380.91,0.10,0.95,D50,Worn,Centre,Run 11,2.18,17.29,10.56,2.63,17.34,94.00
11,280.00,0.07,0.95,D50,Worn,Centre,Run 11,2.60,17.46,11.79,3.05,17.46,117.00
12,280.00,0.13,0.95,D50,Worn,Centre,Run 11,2.27,14.97,9.92,2.67,14.97,58.00
13,280.00,0.10,0.53,D50,Worn,Centre,Run 11,2.39,19.92,10.91,2.88,20.05,80.00
14,280.00,0.10,1.37,D50,Worn,Centre,Run 11,2.22,13.07,9.89,2.62,13.57,68.00
15,280.00,0.10,0.95,D50,Worn,Centre,Run 11,2.31,15.99,10.47,2.72,15.99,89.00
16,280.00,0.10,0.95,D50,Worn,Centre,Run 11,2.20,10.37,8.92,2.55,10.40,96.00
17,280.00,0.10,0.95,D50,Worn,Centre,Run 11,2.62,16.83,11.88,3.15,16.83,102.00
1,220.00,0.08,0.70,D50,Worn,Centre,Run 12,1.09,7.75,5.91,1.35,9.62,66.00
2,340.00,0.08,0.70,D50,Worn,Centre,Run 12,1.28,9.60,6.61,1.59,10.01,63.00
3,220.00,0.12,0.70,D50,Worn,Centre,Run 12,1.71,9.78,7.97,2.03,9.89,101.00
4,340.00,0.12,0.70,D50,Worn,Centre,Run 12,1.84,9.22,8.62,2.27,9.35,85.00
5,220.00,0.08,1.20,D50,Worn,Centre,Run 12,1.48,10.87,7.68,1.90,10.99,56.00
6,340.00,0.08,1.20,D50,Worn,Centre,Run 12,1.50,10.51,7.70,1.82,10.51,66.00
7,220.00,0.12,1.20,D50,Worn,Centre,Run 12,1.48,8.26,7.06,1.76,8.26,102.00
8,340.00,0.12,1.20,D50,Worn,Centre,Run 12,1.61,12.13,7.73,1.94,12.13,68.00
9,179.09,0.10,0.95,D50,Worn,Centre,Run 12,1.31,8.46,7.51,1.64,8.65,46.00
10,380.91,0.10,0.95,D50,Worn,Centre,Run 12,2.53,18.11,12.03,3.06,18.37,89.00
11,280.00,0.07,0.95,D50,Worn,Centre,Run 12,2.12,13.79,7.36,2.54,13.79,79.00
12,280.00,0.13,0.95,D50,Worn,Centre,Run 12,2.44,15.69,11.40,2.94,15.69,54.00
13,280.00,0.10,0.53,D50,Worn,Centre,Run 12,1.97,10.61,8.86,2.36,10.96,84.00
14,280.00,0.10,1.37,D50,Worn,Centre,Run 12,2.24,9.71,9.04,2.59,10.03,103.00
15,280.00,0.10,0.95,D50,Worn,Centre,Run 12,2.45,14.86,10.72,2.90,14.86,84.00
16,280.00,0.10,0.95,D50,Worn,Centre,Run 12,2.13,13.47,9.01,2.48,13.47,99.00
17,280.00,0.10,0.95,D50,Worn,Centre,Run 12,2.52,18.24,11.68,3.11,18.24,87.00
1,220.00,0.08,0.70,D50,Worn,CE,Run 13,1.39,14.55,7.40,1.75,14.55,57.00
2,340.00,0.08,0.70,D50,Worn,CE,Run 13,1.68,9.48,7.96,2.00,10.70,81.00
3,220.00,0.12,0.70,D50,Worn,CE,Run 13,2.40,17.15,11.78,2.96,17.15,93.00
4,340.00,0.12,0.70,D50,Worn,CE,Run 13,2.78,12.41,10.96,3.20,12.41,128.00
5,220.00,0.08,1.20,D50,Worn,CE,Run 13,1.52,9.39,6.88,1.79,9.39,75.00
6,340.00,0.08,1.20,D50,Worn,CE,Run 13,1.31,7.89,7.01,1.64,7.89,52.00
7,220.00,0.12,1.20,D50,Worn,CE,Run 13,1.59,7.78,6.95,1.94,7.84,84.00
8,340.00,0.12,1.20,D50,Worn,CE,Run 13,1.58,7.56,7.03,1.93,7.56,67.00
9,179.09,0.10,0.95,D50,Worn,CE,Run 13,1.69,9.34,7.74,2.05,9.34,55.00
10,380.91,0.10,0.95,D50,Worn,CE,Run 13,2.11,10.74,9.53,2.46,10.86,96.00
11,280.00,0.07,0.95,D50,Worn,CE,Run 13,3.02,19.80,15.92,3.87,21.07,74.00
12,280.00,0.13,0.95,D50,Worn,CE,Run 13,2.12,8.30,8.05,2.35,8.56,63.00
13,280.00,0.10,0.53,D50,Worn,CE,Run 13,2.34,9.98,9.08,2.71,10.38,96.00
14,280.00,0.10,1.37,D50,Worn,CE,Run 13,2.60,13.60,10.62,2.97,13.60,91.00
15,280.00,0.10,0.95,D50,Worn,CE,Run 13,2.38,10.80,9.42,2.70,11.03,102.00
16,280.00,0.10,0.95,D50,Worn,CE,Run 13,2.18,10.20,8.86,2.52,10.79,91.00
17,280.00,0.10,0.95,D50,Worn,CE,Run 13,2.68,15.53,11.50,3.14,15.54,89.00
1,220.00,0.08,0.70,D50,Worn,CE,Run 14,2.03,19.16,12.65,2.70,20.14,69.00
2,340.00,0.08,0.70,D50,Worn,CE,Run 14,2.47,19.25,12.19,3.07,19.25,79.00
3,220.00,0.12,0.70,D50,Worn,CE,Run 14,2.25,14.34,10.95,2.74,14.34,80.00
4,340.00,0.12,0.70,D50,Worn,CE,Run 14,2.59,15.03,12.02,3.10,15.38,90.00
5,220.00,0.08,1.20,D50,Worn,CE,Run 14,1.51,9.35,6.82,1.78,9.35,75.00
6,340.00,0.08,1.20,D50,Worn,CE,Run 14,1.30,9.45,6.95,1.61,9.45,56.00
7,220.00,0.12,1.20,D50,Worn,CE,Run 14,1.48,8.25,7.18,1.82,8.25,83.00
8,340.00,0.12,1.20,D50,Worn,CE,Run 14,1.56,6.99,6.65,1.88,7.12,69.00
9,179.09,0.10,0.95,D50,Worn,CE,Run 14,1.52,10.09,7.77,1.86,10.09,63.00
10,380.91,0.10,0.95,D50,Worn,CE,Run 14,1.67,8.24,7.28,1.99,8.28,66.00
11,280.00,0.07,0.95,D50,Worn,CE,Run 14,1.93,7.41,6.94,2.15,7.41,71.00
12,280.00,0.13,0.95,D50,Worn,CE,Run 14,1.99,8.44,7.71,2.22,8.44,62.00
13,280.00,0.10,0.53,D50,Worn,CE,Run 14,2.43,8.36,8.03,2.74,8.62,101.00
14,280.00,0.10,1.37,D50,Worn,CE,Run 14,2.37,9.25,8.74,2.73,9.56,93.00
15,280.00,0.10,0.95,D50,Worn,CE,Run 14,2.04,8.03,7.29,2.32,8.03,95.00
16,280.00,0.10,0.95,D50,Worn,CE,Run 14,2.24,7.96,7.48,2.51,7.96,101.00
17,280.00,0.10,0.95,D50,Worn,CE,Run 14,2.28,11.55,9.50,2.67,11.72,92.00
1,220.00,0.08,0.70,D50,Worn,CE,Run 15,2.30,18.80,12.04,2.93,18.80,97.00
2,340.00,0.08,0.70,D50,Worn,CE,Run 15,2.46,19.70,14.51,3.17,20.39,74.00
3,220.00,0.12,0.70,D50,Worn,CE,Run 15,2.15,10.65,9.36,2.57,10.65,66.00
4,340.00,0.12,0.70,D50,Worn,CE,Run 15,2.57,10.66,10.20,3.01,11.01,89.00
5,220.00,0.08,1.20,D50,Worn,CE,Run 15,1.65,8.93,7.62,1.98,10.02,54.00
6,340.00,0.08,1.20,D50,Worn,CE,Run 15,1.24,9.17,7.01,1.58,9.45,46.00
7,220.00,0.12,1.20,D50,Worn,CE,Run 15,1.63,7.73,7.20,1.98,7.87,96.00
8,340.00,0.12,1.20,D50,Worn,CE,Run 15,1.60,7.26,7.05,1.92,7.53,86.00
9,179.09,0.10,0.95,D50,Worn,CE,Run 15,1.70,10.78,7.90,2.05,10.78,63.00
10,380.91,0.10,0.95,D50,Worn,CE,Run 15,1.77,10.56,7.78,2.09,10.56,76.00
11,280.00,0.07,0.95,D50,Worn,CE,Run 15,1.71,7.03,6.56,1.95,7.03,69.00
12,280.00,0.13,0.95,D50,Worn,CE,Run 15,1.94,8.15,7.52,2.18,8.34,62.00
13,280.00,0.10,0.53,D50,Worn,CE,Run 15,2.39,8.43,8.06,2.71,8.43,101.00
14,280.00,0.10,1.37,D50,Worn,CE,Run 15,2.29,8.99,8.58,2.66,9.43,94.00
15,280.00,0.10,0.95,D50,Worn,CE,Run 15,2.09,7.45,7.18,2.37,7.50,92.00
16,280.00,0.10,0.95,D50,Worn,CE,Run 15,2.19,9.36,7.18,2.45,7.42,101.00
17,280.00,0.10,0.95,D50,Worn,CE,Run 15,2.31,8.21,8.00,2.61,8.33,94.00
1,220.00,0.08,0.70,D50,Worn,CE,Run 16,1.57,16.28,8.27,1.96,16.28,72.00
2,340.00,0.08,0.70,D50,Worn,CE,Run 16,2.09,20.39,9.68,2.54,20.39,78.00
3,220.00,0.12,0.70,D50,Worn,CE,Run 16,2.53,12.76,11.41,3.01,14.06,84.00
4,340.00,0.12,0.70,D50,Worn,CE,Run 16,2.66,13.01,10.79,3.11,13.01,102.00
5,220.00,0.08,1.20,D50,Worn,CE,Run 16,1.18,6.25,5.91,1.44,6.82,68.00
6,340.00,0.08,1.20,D50,Worn,CE,Run 16,2.09,15.96,11.84,2.68,16.17,85.00
7,220.00,0.12,1.20,D50,Worn,CE,Run 16,1.72,9.04,8.14,2.11,9.25,83.00
8,340.00,0.12,1.20,D50,Worn,CE,Run 16,1.69,7.57,7.15,2.02,7.57,68.00
