Number,Vc,f,ap,Stiffness,Wear,Position,Block,Ra,Ry,Rz,Rq,Rt,Sm
2,340.00,0.08,0.70,D30,New,Centre,Run 9,3.68,18.80,16.06,4.35,19.32,193.00
3,220.00,0.12,0.70,D30,New,Centre,Run 9,3.03,13.83,12.40,3.45,13.96,197.00
4,340.00,0.12,0.70,D30,New,Centre,Run 9,1.55,7.96,7.54,1.85,8.58,123.00
5,220.00,0.08,1.20,D30,New,Centre,Run 9,9.75,40.90,39.83,11.50,42.16,476.00
6,340.00,0.08,1.20,D30,New,Centre,Run 9,4.21,19.78,17.42,4.97,19.78,202.00
7,220.00,0.12,1.20,D30,New,Centre,Run 9,1.96,12.04,9.62,2.35,12.04,125.00
8,340.00,0.12,1.20,D30,New,Centre,Run 9,4.80,25.50,21.30,5.70,25.50,266.00
9,179.09,0.10,0.95,D30,New,Centre,Run 9,4.82,22.87,20.25,5.66,22.87,249.00
10,380.91,0.10,0.95,D30,New,Centre,Run 9,3.74,18.35,16.87,4.44,18.91,247.00
11,280.00,0.07,0.95,D30,New,Centre,Run 9,4.18,19.41,18.70,5.00,20.07,216.00
12,280.00,0.13,0.95,D30,New,Centre,Run 9,3.71,19.55,16.00,4.24,19.55,257.00
13,280.00,0.10,0.53,D30,New,Centre,Run 9,1.37,8.63,7.64,1.66,9.19,114.00
14,280.00,0.10,1.37,D30,New,Centre,Run 9,5.05,26.01,23.37,5.97,26.05,292.00
15,280.00,0.10,0.95,D30,New,Centre,Run 9,6.81,30.60,28.38,7.97,31.12,347.00
16,280.00,0.10,0.95,D30,New,Centre,Run 9,6.37,29.49,27.25,7.49,29.55,333.00
17,280.00,0.10,0.95,D30,New,Centre,Run 9,5.73,26.91,25.26,6.91,26.95,268.00
1,220.00,0.08,0.70,D30,New,Centre,Run 10,3.76,18.43,17.37,4.49,18.76,203.00
2,340.00,0.08,0.70,D30,New,Centre,Run 10,4.04,18.25,16.84,4.73,18.71,228.00
3,220.00,0.12,0.70,D30,New,Centre,Run 10,4.74,19.98,17.23,5.31,20.02,338.00
4,340.00,0.12,0.70,D30,New,Centre,Run 10,1.48,8.22,6.79,1.75,8.22,117.00
5,220.00,0.08,1.20,D30,New,Centre,Run 10,9.45,42.45,39.80,11.25,42.99,464.00
6,340.00,0.08,1.20,D30,New,Centre,Run 10,4.06,18.19,17.93,4.82,18.73,235.00
7,220.00,0.12,1.20,D30,New,Centre,Run 10,1.84,10.82,9.88,2.25,11.41,130.00
8,340.00,0.12,1.20,D30,New,Centre,Run 10,3.17,19.30,13.93,3.75,21.22,176.00
9,179.09,0.10,0.95,D30,New,Centre,Run 10,4.78,24.08,21.33,5.67,24.22,247.00
10,380.91,0.10,0.95,D30,New,Centre,Run 10,5.71,22.43,20.66,6.43,22.43,296.00
11,280.00,0.07,0.95,D30,New,Centre,Run 10,4.25,20.78,19.54,5.05,20.98,228.00
12,280.00,0.13,0.95,D30,New,Centre,Run 10,3.39,17.26,14.97,3.99,18.69,224.00
13,280.00,0.10,0.53,D30,New,Centre,Run 10,1.23,7.62,6.59,1.49,7.76,110.00
14,280.00,0.10,1.37,D30,New,Centre,Run 10,5.14,24.22,22.45,6.04,24.23,264.00
15,280.00,0.10,0.95,D30,New,Centre,Run 10,6.53,29.41,27.54,7.67,29.41,381.00
16,280.00,0.10,0.95,D30,New,Centre,Run 10,6.05,28.28,27.44,7.23,28.55,281.00
17,280.00,0.10,0.95,D30,New,Centre,Run 10,5.45,28.14,24.32,6.53,28.14,391.00
1,220.00,0.08,0.70,D30,New,Centre,Run 11,3.76,19.81,18.58,4.51,20.95,211.00
2,340.00,0.08,0.70,D30,New,Centre,Run 11,4.10,17.78,17.16,4.82,18.28,229.00
3,220.00,0.12,0.70,D30,New,Centre,Run 11,3.10,14.41,13.44,3.65,15.53,219.00
4,340.00,0.12,0.70,D30,New,Centre,Run 11,1.62,8.85,7.50,1.94,8.85,132.00
5,220.00,0.08,1.20,D30,New,Centre,Run 11,9.41,43.78,38.95,11.18,43.78,446.00
6,340.00,0.08,1.20,D30,New,Centre,Run 11,4.20,18.64,17.54,4.92,18.80,229.00
7,220.00,0.12,1.20,D30,New,Centre,Run 11,1.93,12.34,9.02,2.30,12.34,140.00
8,340.00,0.12,1.20,D30,New,Centre,Run 11,3.31,20.74,15.19,3.94,21.71,194.00
9,179.09,0.10,0.95,D30,New,Centre,Run 11,4.70,22.55,20.45,5.53,23.37,259.00
10,380.91,0.10,0.95,D30,New,Centre,Run 11,6.07,23.21,22.44,6.92,23.44,296.00
11,280.00,0.07,0.95,D30,New,Centre,Run 11,4.12,19.78,18.67,4.92,20.83,247.00
12,280.00,0.13,0.95,D30,New,Centre,Run 11,3.73,20.34,16.61,4.42,20.34,180.00
13,280.00,0.10,0.53,D30,New,Centre,Run 11,1.32,11.03,7.81,1.65,11.03,118.00
14,280.00,0.10,1.37,D30,New,Centre,Run 11,5.34,25.74,23.93,6.34,25.87,280.00
15,280.00,0.10,0.95,D30,New,Centre,Run 11,6.68,30.74,27.82,7.82,30.74,309.00
16,280.00,0.10,0.95,D30,New,Centre,Run 11,6.23,29.17,26.82,7.36,29.64,324.00
17,280.00,0.10,0.95,D30,New,Centre,Run 11,5.56,26.44,24.88,6.72,26.44,389.00
1,220.00,0.08,0.70,D30,New,Centre,Run 12,3.93,18.90,18.42,4.63,19.17,225.00
2,340.00,0.08,0.70,D30,New,Centre,Run 12,4.12,18.18,17.15,4.83,18.18,216.00
3,220.00,0.12,0.70,D30,New,Centre,Run 12,2.88,14.62,13.31,3.41,14.62,170.00
4,340.00,0.12,0.70,D30,New,Centre,Run 12,1.51,8.04,7.28,1.79,8.23,117.00
5,220.00,0.08,1.20,D30,New,Centre,Run 12,10.48,41.40,41.10,12.25,42.12,465.00
6,340.00,0.08,1.20,D30,New,Centre,Run 12,4.01,18.62,17.43,4.78,18.77,198.00
7,220.00,0.12,1.20,D30,New,Centre,Run 12,1.95,12.86,9.63,2.36,12.86,140.00
8,340.00,0.12,1.20,D30,New,Centre,Run 12,4.49,21.42,19.36,5.32,22.30,267.00
9,179.09,0.10,0.95,D30,New,Centre,Run 12,4.97,23.10,20.29,5.78,23.10,278.00
10,380.91,0.10,0.95,D30,New,Centre,Run 12,5.75,21.41,20.89,6.47,21.99,296.00
11,280.00,0.07,0.95,D30,New,Centre,Run 12,4.11,19.38,18.38,4.92,20.58,248.00
12,280.00,0.13,0.95,D30,New,Centre,Run 12,3.79,18.56,16.62,4.42,18.56,197.00
13,280.00,0.10,0.53,D30,New,Centre,Run 12,1.32,9.16,7.40,1.65,9.16,97.00
14,280.00,0.10,1.37,D30,New,Centre,Run 12,5.16,24.94,23.27,6.15,25.64,224.00
15,280.00,0.10,0.95,D30,New,Centre,Run 12,6.80,30.67,27.97,7.96,30.71,358.00
16,280.00,0.10,0.95,D30,New,Centre,Run 12,6.41,30.02,27.61,7.55,30.43,354.00
17,280.00,0.10,0.95,D30,New,Centre,Run 12,5.57,26.17,24.88,6.70,26.86,378.00
1,220.00,0.08,0.70,D30,New,CE,Run 13,1.11,9.79,7.88,1.46,10.01,75.00
2,340.00,0.08,0.70,D30,New,CE,Run 13,0.95,5.21,5.01,1.17,5.90,83.00
3,220.00,0.12,0.70,D30,New,CE,Run 13,1.41,8.17,6.41,1.63,8.34,114.00
4,340.00,0.12,0.70,D30,New,CE,Run 13,1.53,8.46,7.30,1.78,8.58,118.00
5,220.00,0.08,1.20,D30,New,CE,Run 13,1.59,16.70,9.92,2.05,16.70,81.00
6,340.00,0.08,1.20,D30,New,CE,Run 13,1.46,9.32,7.97,1.86,9.32,69.00
7,220.00,0.12,1.20,D30,New,CE,Run 13,1.45,7.31,7.10,1.76,7.70,118.00
8,340.00,0.12,1.20,D30,New,CE,Run 13,1.56,7.63,6.92,1.86,7.68,118.00
